js,dp,11,6,9/18
al,dp,12,10,9/19
al,js,13,11,9/19
al,dp,12,8,9/19
rs,al,13,11,9/19
dp,rs,11,6,9/20
dp,al,21,18,9/24
al,js,11,9,9/24
al,js,23,21,9/24
js,al,26,24,9/24
dp,al,21,16,9/24
al,js,12,10,9/26
js,jc,11,5,9/26
js,rs,11,5,9/28
dp,rs,21,10,10/1
dp,js,21,18,10/2
js,dp,21,13,10/3
js,rs,11,4,10/3
js,rs,11,5,10/4
dp,rs,21,16,10/4
js,rs,11,6,10/8
js,al,14,12,10/9
js,al,11,5,10/9
js,al,11,8,10/10
js,al,12,10,10/10
js,rs,11,7,10/10
js,rs,11,4,10/10
rs,go,11,8,10/10
rs,al,11,8,10/10
al,rs,21,11,10/10
al,rs,21,12,10/10
rs,al,12,10,10/10
js,al,11,6,10/13
js,al,11,7,10/13
dp,rs,21,14,10/15
dp,al,21,13,10/15
al,js,22,20,10/15
al,js,11,8,10/16
dp,rs,21,14,10/16
js,al,11,7,10/16
dp,js,21,17,10/16
dp,al,21,14,10/16
js,go,11,7,10/16
js,rs,11,2,10/16
js,rs,11,7,10/16
js,al,11,8,10/16
al,rs,11,2,10/17
js,dp,21,16,10/17
js,rs,11,0,10/17
js,al,11,8,10/17
js,go,11,5,10/17
